"","date","ads"
"1",1808,0.00177030842812743
"2",1809,0.00170746698416328
"3",1810,0.00201777817595781
"4",1811,0.00234557973118816
"5",1812,0.00241727489851051
"6",1813,0.00259895430868408
"7",1814,0.0028865278249235
"8",1815,0.00251807321051436
"9",1816,0.00247460492494308
"10",1817,0.00266799944515331
"11",1818,0.00225960164420018
"12",1819,0.00175141633514944
"13",1820,0.00182003508264205
"14",1821,0.00178842218194757
"15",1822,0.00156527138922546
"16",1823,0.00172164354089985
"17",1824,0.0019438311303842
"18",1825,0.00193368148092192
"19",1826,0.00186961563177005
"20",1827,0.00218474997049838
"21",1828,0.00289584983454505
"22",1829,0.00320803521828799
"23",1830,0.00336560615894752
"24",1831,0.00417550131186228
"25",1832,0.00481151102366754
"26",1833,0.00512112726449278
"27",1834,0.00528751573628014
"28",1835,0.0052777664045064
"29",1836,0.0050348216342255
"30",1837,0.00473492121717419
"31",1838,0.00424187013384022
"32",1839,0.00435126551154176
"33",1840,0.00467388996772387
"34",1841,0.00461102969094897
"35",1842,0.0047563611337769
"36",1843,0.00513356016627439
"37",1844,0.00536625456754163
"38",1845,0.00590323609477234
"39",1846,0.00635589309080987
"40",1847,0.00696197959617238
"41",1848,0.00728918677488568
"42",1849,0.00747894018755891
"43",1850,0.00777184639874068
"44",1851,0.00859526429935591
"45",1852,0.0087345332256983
"46",1853,0.00892567000110829
"47",1854,0.00914976637873571
"48",1855,0.00926364838402535
"49",1856,0.00844973879479539
"50",1857,0.00794176125575908
"51",1858,0.00839000069421165
"52",1859,0.00843071565103649
"53",1860,0.0083573820561307
"54",1861,0.00857640080689326
"55",1862,0.00818245217093513
"56",1863,0.00730013078467503
"57",1864,0.006918355166395
"58",1865,0.00654545949382075
"59",1866,0.00654598807900794
"60",1867,0.00719679524096129
"61",1868,0.00780267390147947
"62",1869,0.00817242446387107
"63",1870,0.0084500339995209
"64",1871,0.00857525134616844
"65",1872,0.00953231916416628
"66",1873,0.0102661307332872
"67",1874,0.0106582200600342
"68",1875,0.0116896706008015
"69",1876,0.011731426851386
"70",1877,0.0128116601212883
"71",1878,0.0119529144124162
"72",1879,0.0122180350646327
"73",1880,0.0118015288493296
"74",1881,0.011964841247306
"75",1882,0.0104572168709503
"76",1883,0.0110641174791083
"77",1884,0.011754629869958
"78",1885,0.0125138187568504
"79",1886,0.0136428017919257
"80",1887,0.014086779355765
"81",1888,0.014180961006696
"82",1889,0.014024240896116
"83",1890,0.0135288000665241
"84",1891,0.0128013825472839
"85",1892,0.0128776120700567
"86",1893,0.0126100514451158
"87",1894,0.0118724643679801
"88",1895,0.0114486651082781
"89",1896,0.0107571609891813
"90",1897,0.00951283334613114
"91",1898,0.00896217472817537
"92",1899,0.00852500433378545
"93",1900,0.00804239446978863
"94",1901,0.00814258152924793
"95",1902,0.00800542679223308
"96",1903,0.00819427944968468
"97",1904,0.00818649567352469
"98",1905,0.00788539105152045
"99",1906,0.00790013064677794
"100",1907,0.0078576352399425
"101",1908,0.00720900321286498
"102",1909,0.00701713127309839
"103",1910,0.00709864456766236
"104",1911,0.00699098909449215
"105",1912,0.00735272585838278
"106",1913,0.00759048069998803
"107",1914,0.00733317441552935
"108",1915,0.00687480400704068
"109",1916,0.00622836519845492
"110",1917,0.00553683858826895
"111",1918,0.00485813079078676
"112",1919,0.00454436971079357
"113",1920,0.00420945827497747
"114",1921,0.00433209745928917
"115",1922,0.00457501197957409
